Texas Education Agency,,,,,,,,,,,,,,,,,
2018-19 STAAR Performance,,,,,,,,,,,,,,,,,
PASADENA ISD (101917) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
,2018,26%,27%,18%,19%,17%,31%,*,41%,40%,33%,9%,12%,20%,14%,16%,16%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,90%,89%,87%,79%,88%,90%,100%,97%,*,100%,68%,88%,89%,83%,86%,89%
,2018,91%,90%,88%,82%,88%,91%,*,99%,100%,91%,68%,84%,90%,83%,87%,88%
At Meets Grade Level or Above,2019,58%,59%,48%,36%,47%,57%,14%,80%,*,78%,34%,49%,50%,42%,45%,48%
,2018,58%,58%,48%,42%,47%,54%,*,87%,80%,61%,33%,41%,51%,39%,46%,47%
At Masters Grade Level,2019,36%,38%,25%,17%,24%,32%,0%,63%,*,50%,15%,23%,26%,21%,23%,25%
,2018,30%,31%,20%,12%,19%,29%,*,58%,60%,27%,12%,14%,22%,14%,18%,21%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,73%,65%,73%,82%,71%,91%,-,100%,47%,74%,75%,68%,71%,71%
,2018,76%,76%,75%,66%,75%,85%,*,96%,80%,84%,53%,70%,78%,67%,73%,76%
At Meets Grade Level or Above,2019,49%,50%,44%,32%,43%,61%,29%,77%,-,78%,31%,47%,46%,37%,41%,42%
,2018,41%,42%,35%,25%,34%,50%,*,77%,40%,53%,27%,25%,37%,28%,33%,33%
At Masters Grade Level,2019,24%,25%,19%,10%,17%,31%,0%,49%,-,56%,12%,21%,20%,14%,16%,17%
,2018,17%,18%,11%,6%,10%,17%,*,35%,20%,16%,8%,6%,11%,9%,10%,11%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,66%,64%,64%,77%,*,90%,*,90%,37%,62%,68%,59%,64%,62%
,2018,69%,71%,65%,56%,64%,77%,*,91%,*,65%,33%,55%,67%,57%,62%,63%
At Meets Grade Level or Above,2019,37%,38%,31%,34%,28%,45%,*,69%,*,45%,20%,25%,33%,22%,29%,27%
,2018,39%,41%,31%,22%,29%,48%,*,70%,*,35%,20%,19%,33%,25%,28%,28%
At Masters Grade Level,2019,18%,19%,12%,16%,10%,20%,*,35%,*,16%,6%,11%,13%,9%,11%,10%
,2018,19%,20%,14%,9%,12%,29%,*,34%,*,8%,9%,5%,15%,10%,11%,11%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,73%,66%,73%,82%,-,93%,*,96%,53%,71%,75%,68%,72%,72%
,2018,77%,78%,68%,62%,68%,74%,*,91%,*,73%,51%,78%,69%,65%,67%,69%
At Meets Grade Level or Above,2019,47%,48%,26%,23%,25%,33%,-,70%,*,40%,23%,31%,27%,23%,25%,25%
,2018,44%,46%,22%,16%,20%,33%,*,65%,*,14%,25%,26%,21%,22%,20%,22%
At Masters Grade Level,2019,21%,22%,6%,3%,5%,9%,-,43%,*,12%,9%,0%,5%,6%,5%,5%
,2018,18%,20%,4%,2%,4%,4%,*,30%,*,5%,10%,2%,4%,6%,4%,5%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,76%,77%,74%,63%,74%,83%,*,94%,*,82%,36%,73%,76%,68%,72%,73%
,2018,74%,76%,71%,65%,70%,79%,*,93%,*,77%,37%,50%,73%,64%,69%,69%
At Meets Grade Level or Above,2019,49%,51%,43%,32%,41%,58%,*,80%,*,55%,24%,30%,44%,36%,40%,40%
,2018,48%,50%,43%,31%,42%,57%,*,71%,*,50%,25%,23%,45%,34%,40%,40%
At Masters Grade Level,2019,29%,31%,23%,15%,21%,35%,*,67%,*,32%,10%,17%,25%,18%,21%,22%
,2018,29%,30%,24%,17%,22%,37%,*,51%,*,41%,10%,15%,26%,17%,21%,21%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,77%,76%,67%,75%,81%,*,97%,*,80%,46%,81%,77%,69%,74%,76%
,2018,72%,75%,71%,63%,70%,81%,*,91%,-,70%,48%,61%,73%,64%,69%,70%
At Meets Grade Level or Above,2019,43%,46%,38%,27%,36%,48%,*,83%,*,40%,26%,31%,39%,33%,35%,38%
,2018,40%,43%,33%,22%,31%,47%,*,79%,-,30%,22%,25%,34%,27%,30%,32%
At Masters Grade Level,2019,17%,18%,9%,5%,8%,15%,*,47%,*,8%,8%,5%,9%,8%,8%,9%
,2018,18%,20%,11%,9%,9%,15%,*,51%,-,15%,7%,5%,11%,9%,9%,10%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,70%,72%,67%,59%,66%,78%,*,93%,*,68%,31%,64%,69%,61%,65%,65%
,2018,69%,69%,63%,56%,61%,75%,*,85%,*,74%,26%,35%,65%,54%,60%,58%
At Meets Grade Level or Above,2019,42%,43%,34%,24%,33%,50%,*,74%,*,32%,20%,27%,35%,30%,32%,32%
,2018,43%,44%,33%,26%,32%,49%,*,61%,*,48%,19%,14%,35%,26%,30%,29%
At Masters Grade Level,2019,18%,19%,12%,11%,10%,24%,*,38%,*,14%,8%,5%,12%,9%,10%,9%
,2018,15%,16%,8%,6%,7%,14%,*,27%,*,4%,6%,0%,9%,5%,7%,7%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,86%,86%,84%,77%,84%,91%,*,99%,100%,74%,48%,75%,86%,76%,83%,82%
,2018,86%,86%,84%,82%,84%,87%,*,94%,*,91%,49%,77%,86%,77%,83%,81%
At Meets Grade Level or Above,2019,55%,56%,47%,34%,47%,61%,*,69%,33%,52%,22%,25%,51%,35%,45%,43%
,2018,49%,51%,44%,40%,42%,52%,*,72%,*,64%,23%,31%,46%,33%,41%,36%
At Masters Grade Level,2019,28%,30%,21%,15%,20%,32%,*,40%,0%,35%,7%,14%,22%,14%,18%,16%
,2018,27%,28%,21%,14%,20%,26%,*,46%,*,27%,7%,10%,22%,14%,19%,16%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,90%,84%,90%,93%,*,99%,100%,83%,64%,86%,90%,87%,89%,90%
,2018,86%,87%,91%,91%,90%,91%,*,97%,*,78%,65%,80%,91%,88%,90%,91%
At Meets Grade Level or Above,2019,57%,58%,58%,50%,57%,62%,*,89%,40%,50%,34%,50%,59%,52%,56%,58%
,2018,51%,52%,56%,50%,56%,60%,*,85%,*,52%,31%,46%,58%,50%,55%,58%
At Masters Grade Level,2019,17%,18%,16%,12%,14%,21%,*,57%,0%,17%,10%,10%,17%,12%,14%,16%
,2018,15%,16%,16%,12%,15%,21%,*,43%,*,17%,9%,15%,17%,12%,15%,17%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,78%,72%,78%,88%,*,97%,67%,70%,50%,76%,80%,70%,77%,76%
,2018,76%,77%,74%,69%,74%,81%,*,91%,*,68%,45%,66%,76%,66%,72%,72%
At Meets Grade Level or Above,2019,51%,52%,44%,36%,42%,62%,*,82%,17%,52%,27%,33%,46%,35%,42%,40%
,2018,52%,53%,47%,32%,46%,60%,*,79%,*,55%,26%,39%,49%,37%,44%,43%
At Masters Grade Level,2019,25%,27%,17%,11%,16%,27%,*,42%,17%,22%,9%,5%,19%,10%,16%,15%
,2018,28%,29%,23%,15%,22%,31%,*,58%,*,23%,8%,21%,25%,17%,21%,19%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,69%,70%,68%,59%,67%,80%,*,94%,17%,65%,44%,67%,70%,61%,66%,65%
,2018,65%,66%,66%,62%,65%,73%,*,90%,*,73%,38%,61%,67%,60%,64%,63%
At Meets Grade Level or Above,2019,37%,38%,34%,31%,33%,46%,*,63%,17%,26%,24%,26%,36%,27%,32%,31%
,2018,36%,37%,34%,29%,33%,43%,*,59%,*,45%,23%,29%,35%,27%,32%,31%
At Masters Grade Level,2019,21%,23%,17%,13%,16%,25%,*,42%,0%,22%,10%,17%,19%,12%,16%,15%
,2018,21%,22%,18%,12%,17%,22%,*,49%,*,18%,8%,11%,19%,12%,16%,16%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,67%,60%,51%,60%,66%,30%,77%,*,76%,22%,44%,63%,49%,59%,50%
,2018,65%,65%,57%,45%,57%,64%,27%,88%,*,68%,20%,42%,60%,48%,56%,45%
At Meets Grade Level or Above,2019,50%,50%,42%,32%,41%,52%,0%,69%,*,64%,10%,36%,44%,32%,40%,31%
,2018,44%,45%,35%,24%,34%,48%,9%,71%,*,45%,10%,27%,37%,28%,32%,21%
At Masters Grade Level,2019,11%,11%,6%,5%,5%,11%,0%,30%,*,15%,2%,1%,7%,4%,5%,2%
,2018,7%,8%,5%,3%,4%,11%,0%,24%,*,13%,3%,3%,5%,4%,4%,1%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,61%,55%,60%,70%,50%,77%,-,70%,22%,43%,64%,46%,59%,43%
,2018,67%,67%,58%,54%,58%,68%,44%,67%,*,73%,21%,53%,62%,44%,56%,35%
At Meets Grade Level or Above,2019,49%,50%,41%,36%,39%,54%,8%,64%,-,63%,12%,29%,44%,26%,38%,21%
,2018,48%,48%,38%,32%,37%,50%,11%,54%,*,58%,12%,24%,41%,25%,36%,16%
At Masters Grade Level,2019,8%,9%,5%,3%,4%,9%,0%,19%,-,13%,4%,0%,6%,3%,4%,1%
,2018,8%,9%,4%,2%,4%,6%,0%,18%,*,4%,3%,0%,4%,2%,4%,0%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,85%,84%,90%,81%,90%,88%,67%,95%,*,82%,62%,79%,91%,83%,89%,91%
,2018,83%,83%,81%,70%,81%,85%,71%,94%,*,77%,44%,86%,83%,72%,80%,80%
At Meets Grade Level or Above,2019,61%,61%,73%,61%,73%,70%,50%,89%,*,68%,35%,53%,75%,61%,72%,72%
,2018,55%,55%,49%,33%,49%,55%,14%,83%,*,46%,15%,43%,52%,37%,49%,47%
At Masters Grade Level,2019,37%,38%,46%,35%,46%,52%,50%,74%,*,50%,12%,29%,49%,35%,45%,46%
,2018,32%,34%,27%,11%,27%,32%,0%,66%,*,23%,5%,22%,30%,17%,26%,27%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,88%,88%,87%,80%,87%,90%,*,93%,*,93%,58%,85%,89%,80%,86%,83%
,2018,87%,86%,85%,78%,85%,90%,86%,94%,*,92%,52%,80%,87%,77%,84%,80%
At Meets Grade Level or Above,2019,62%,63%,60%,54%,60%,69%,*,75%,*,78%,22%,46%,64%,46%,59%,49%
,2018,59%,60%,57%,46%,56%,73%,71%,83%,*,62%,20%,55%,60%,46%,55%,43%
At Masters Grade Level,2019,25%,28%,21%,15%,20%,28%,*,52%,*,37%,5%,17%,23%,15%,19%,14%
,2018,24%,26%,21%,13%,19%,34%,14%,56%,*,38%,3%,20%,23%,14%,19%,10%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,93%,93%,92%,88%,92%,96%,100%,96%,*,94%,68%,77%,94%,85%,92%,84%
,2018,92%,91%,92%,90%,92%,94%,100%,97%,80%,100%,67%,93%,93%,88%,91%,83%
At Meets Grade Level or Above,2019,73%,75%,73%,72%,72%,85%,57%,86%,*,89%,37%,49%,75%,61%,72%,47%
,2018,70%,71%,70%,63%,70%,77%,83%,85%,60%,96%,37%,64%,73%,60%,69%,46%
At Masters Grade Level,2019,45%,49%,42%,36%,40%,61%,14%,60%,*,78%,12%,23%,44%,32%,40%,19%
,2018,40%,43%,37%,28%,35%,52%,67%,59%,60%,67%,10%,50%,38%,31%,35%,16%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,78%,78%,76%,69%,76%,83%,69%,92%,78%,83%,46%,73%,78%,69%,75%,74%
,2018,77%,77%,74%,67%,74%,80%,66%,90%,68%,80%,44%,69%,76%,67%,72%,72%
At Meets Grade Level or Above,2019,50%,51%,45%,37%,44%,56%,29%,75%,35%,55%,24%,37%,47%,37%,43%,40%
,2018,48%,49%,42%,33%,41%,53%,37%,72%,44%,52%,23%,34%,44%,34%,40%,37%
At Masters Grade Level,2019,24%,25%,18%,14%,17%,26%,8%,45%,12%,28%,8%,13%,19%,14%,17%,16%
,2018,22%,23%,16%,11%,15%,23%,11%,42%,34%,23%,7%,11%,17%,12%,15%,14%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,75%,75%,72%,64%,71%,79%,57%,88%,81%,81%,36%,68%,74%,64%,71%,68%
,2018,74%,74%,69%,62%,69%,77%,49%,87%,56%,80%,34%,64%,71%,61%,68%,65%
At Meets Grade Level or Above,2019,48%,49%,42%,34%,40%,53%,16%,70%,31%,55%,19%,33%,44%,33%,39%,36%
,2018,46%,47%,39%,31%,38%,52%,22%,67%,38%,53%,20%,31%,41%,31%,36%,33%
At Masters Grade Level,2019,21%,22%,15%,12%,14%,23%,5%,38%,19%,26%,5%,13%,16%,11%,14%,13%
,2018,19%,20%,14%,11%,13%,22%,3%,34%,31%,25%,6%,10%,15%,11%,13%,13%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,82%,82%,82%,73%,82%,86%,85%,96%,93%,87%,56%,81%,83%,77%,81%,83%
,2018,81%,82%,80%,71%,80%,84%,79%,94%,91%,79%,53%,80%,81%,73%,78%,81%
At Meets Grade Level or Above,2019,52%,53%,47%,38%,47%,55%,45%,82%,53%,51%,30%,43%,49%,41%,46%,48%
,2018,50%,51%,43%,32%,42%,51%,38%,79%,55%,45%,26%,38%,44%,35%,41%,43%
At Masters Grade Level,2019,26%,28%,21%,14%,20%,27%,20%,56%,13%,25%,11%,15%,22%,17%,19%,21%
,2018,24%,25%,17%,10%,16%,22%,13%,50%,45%,19%,8%,13%,18%,13%,16%,17%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,68%,69%,66%,62%,65%,75%,*,92%,*,75%,33%,61%,68%,62%,65%,66%
,2018,66%,66%,62%,54%,62%,71%,55%,82%,*,68%,31%,43%,65%,55%,60%,61%
At Meets Grade Level or Above,2019,38%,39%,32%,27%,30%,44%,*,67%,*,44%,21%,27%,33%,28%,30%,30%
,2018,41%,42%,35%,31%,34%,46%,36%,58%,*,43%,23%,24%,37%,28%,32%,33%
At Masters Grade Level,2019,14%,15%,10%,10%,8%,17%,*,31%,*,15%,6%,4%,10%,8%,9%,8%
,2018,13%,13%,8%,6%,7%,13%,0%,24%,*,6%,7%,3%,8%,5%,6%,7%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,82%,80%,73%,80%,87%,73%,94%,75%,87%,52%,78%,82%,73%,78%,76%
,2018,80%,80%,78%,72%,78%,86%,82%,94%,57%,83%,50%,72%,80%,71%,77%,76%
At Meets Grade Level or Above,2019,54%,55%,50%,42%,49%,64%,33%,78%,25%,69%,26%,43%,53%,40%,48%,43%
,2018,51%,52%,47%,35%,46%,62%,73%,80%,29%,56%,23%,37%,50%,37%,44%,39%
At Masters Grade Level,2019,25%,27%,19%,12%,18%,29%,0%,48%,13%,37%,8%,16%,21%,13%,17%,15%
,2018,23%,24%,18%,11%,17%,28%,18%,50%,14%,25%,6%,14%,20%,13%,17%,13%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,81%,81%,80%,73%,80%,88%,82%,95%,29%,78%,56%,72%,82%,72%,79%,71%
,2018,78%,79%,79%,76%,78%,83%,100%,94%,67%,88%,53%,69%,80%,74%,78%,69%
At Meets Grade Level or Above,2019,55%,57%,54%,51%,52%,65%,36%,76%,29%,54%,31%,37%,56%,43%,51%,36%
,2018,53%,54%,52%,46%,51%,59%,63%,73%,50%,73%,30%,38%,54%,43%,50%,35%
At Masters Grade Level,2019,33%,36%,30%,24%,28%,43%,9%,52%,0%,46%,11%,20%,32%,21%,27%,17%
,2018,31%,32%,27%,20%,26%,36%,50%,55%,50%,45%,9%,21%,29%,21%,25%,16%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,28%,18%,28%,36%,*,59%,-,37%,18%,29%,29%,23%,27%,32%
,2018,34%,34%,28%,20%,27%,36%,*,54%,*,36%,24%,27%,29%,24%,26%,30%
Reading and Mathematics Including EOC,2019,35%,36%,28%,18%,28%,36%,*,59%,-,37%,18%,29%,29%,23%,27%,32%
,2018,34%,34%,28%,20%,27%,36%,*,54%,*,36%,24%,27%,29%,24%,26%,30%
Reading Including EOC,2019,45%,45%,42%,31%,42%,45%,*,65%,-,47%,22%,36%,43%,38%,40%,45%
,2018,43%,44%,40%,28%,40%,49%,*,60%,*,43%,30%,42%,41%,35%,37%,42%
Math Including EOC,2019,49%,48%,41%,28%,40%,56%,*,79%,-,53%,25%,44%,42%,36%,39%,45%
,2018,47%,48%,40%,29%,39%,46%,*,75%,*,41%,32%,35%,41%,35%,38%,44%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,35%,36%,28%,21%,27%,39%,-,64%,*,31%,21%,26%,29%,23%,26%,28%
,2018,36%,37%,30%,24%,28%,42%,14%,53%,-,46%,26%,23%,31%,26%,27%,28%
Reading and Mathematics Including EOC,2019,35%,36%,28%,21%,27%,39%,-,64%,*,31%,21%,26%,29%,23%,26%,28%
,2018,36%,37%,30%,24%,28%,42%,14%,53%,-,46%,26%,23%,31%,26%,27%,28%
Reading Including EOC,2019,44%,45%,41%,35%,40%,52%,-,73%,*,46%,25%,35%,42%,36%,39%,38%
,2018,46%,46%,41%,35%,40%,55%,29%,60%,-,67%,30%,32%,42%,37%,38%,37%
Math Including EOC,2019,48%,49%,40%,30%,39%,47%,-,77%,*,35%,28%,42%,42%,34%,38%,44%
,2018,49%,51%,43%,32%,43%,52%,14%,74%,-,63%,32%,48%,46%,36%,41%,46%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,44%,44%,34%,27%,33%,46%,14%,68%,*,72%,25%,34%,36%,28%,31%,31%
,2018,44%,44%,34%,31%,32%,42%,*,74%,60%,53%,23%,29%,36%,26%,31%,31%
Reading and Mathematics Including EOC,2019,44%,44%,34%,27%,33%,46%,14%,68%,*,72%,25%,34%,36%,28%,31%,31%
,2018,44%,44%,34%,31%,32%,42%,*,74%,60%,53%,23%,29%,36%,26%,31%,31%
Reading Including EOC,2019,54%,54%,47%,41%,45%,59%,43%,74%,*,72%,31%,42%,48%,41%,43%,41%
,2018,54%,54%,45%,42%,43%,60%,*,80%,60%,64%,28%,41%,47%,37%,42%,41%
Math Including EOC,2019,58%,59%,48%,36%,47%,57%,14%,80%,*,78%,34%,49%,50%,42%,45%,48%
,2018,58%,59%,48%,42%,47%,54%,*,87%,80%,61%,33%,41%,51%,39%,46%,47%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,31%,32%,21%,21%,19%,30%,*,64%,*,35%,18%,11%,23%,14%,19%,18%
,2018,31%,33%,20%,14%,18%,34%,*,64%,*,23%,19%,9%,21%,16%,17%,19%
Reading and Mathematics Including EOC,2019,31%,32%,21%,21%,19%,30%,*,64%,*,35%,18%,11%,23%,14%,19%,18%
,2018,31%,33%,20%,14%,18%,34%,*,64%,*,23%,19%,9%,21%,16%,17%,19%
Reading Including EOC,2019,37%,38%,31%,34%,28%,45%,*,69%,*,45%,20%,25%,33%,22%,29%,26%
,2018,39%,41%,31%,22%,29%,48%,*,70%,*,35%,20%,19%,33%,25%,28%,28%
Math Including EOC,2019,48%,49%,36%,30%,34%,45%,*,83%,*,52%,24%,31%,38%,29%,34%,34%
,2018,45%,47%,31%,21%,29%,49%,*,80%,*,23%,27%,29%,33%,27%,29%,32%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,39%,29%,18%,27%,42%,*,76%,*,27%,20%,20%,31%,23%,26%,28%
,2018,35%,37%,28%,16%,27%,42%,*,63%,*,41%,19%,13%,30%,20%,25%,27%
Reading and Mathematics Including EOC,2019,37%,40%,29%,18%,27%,42%,*,76%,*,27%,20%,20%,31%,23%,26%,28%
,2018,36%,38%,28%,16%,27%,42%,*,63%,*,41%,19%,13%,30%,20%,25%,27%
Reading Including EOC,2019,49%,51%,43%,32%,41%,58%,*,80%,*,55%,24%,30%,44%,36%,40%,40%
,2018,48%,50%,43%,31%,42%,57%,*,71%,*,50%,25%,23%,45%,34%,40%,40%
Math Including EOC,2019,48%,50%,40%,26%,38%,56%,*,88%,*,32%,26%,42%,42%,33%,37%,39%
,2018,45%,46%,36%,23%,35%,48%,*,77%,*,46%,21%,25%,38%,27%,33%,36%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,34%,35%,28%,22%,28%,36%,*,40%,0%,27%,19%,13%,30%,24%,27%,26%
,2018,28%,30%,25%,23%,25%,28%,*,38%,*,14%,21%,19%,26%,20%,24%,22%
Reading and Mathematics Including EOC,2019,47%,48%,40%,28%,40%,52%,*,64%,17%,50%,20%,18%,43%,29%,38%,36%
,2018,41%,43%,37%,30%,35%,45%,*,70%,*,38%,21%,23%,39%,26%,34%,31%
Reading Including EOC,2019,55%,56%,47%,34%,47%,61%,*,68%,33%,52%,22%,25%,51%,35%,45%,43%
,2018,50%,51%,44%,40%,42%,52%,*,72%,*,64%,23%,31%,46%,33%,41%,36%
Math Including EOC,2019,62%,64%,60%,50%,60%,63%,*,87%,50%,59%,34%,43%,62%,52%,58%,59%
,2018,58%,60%,59%,52%,58%,63%,*,89%,*,50%,31%,46%,60%,52%,57%,58%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2019,36%,37%,28%,21%,27%,38%,21%,65%,15%,37%,20%,23%,29%,22%,26%,27%
,2018,35%,36%,28%,21%,26%,38%,29%,60%,50%,38%,22%,21%,29%,22%,25%,26%
Reading and Mathematics Including EOC,2019,38%,39%,30%,22%,29%,41%,20%,67%,21%,41%,20%,24%,32%,23%,28%,29%
,2018,37%,38%,29%,23%,28%,40%,29%,63%,50%,40%,22%,21%,31%,23%,27%,28%
Reading Including EOC,2019,47%,48%,42%,35%,40%,54%,33%,72%,36%,52%,24%,33%,43%,34%,39%,39%
,2018,47%,48%,40%,33%,39%,53%,35%,69%,60%,54%,26%,32%,42%,34%,38%,37%
Math Including EOC,2019,52%,53%,44%,33%,43%,54%,40%,83%,50%,50%,29%,42%,46%,37%,42%,45%
,2018,50%,52%,43%,33%,42%,52%,47%,80%,60%,47%,29%,38%,45%,36%,41%,43%
