Texas Education Agency,,,,,,,,,,,,,,,,,
2020-21 STAAR Performance,,,,,,,,,,,,,,,,,
PASADENA ISD (101917) - HARRIS COUNTY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Due to the cancellation of spring 2020 STAAR, 2021 and 2019 STAAR data are shown.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"School
Year",State,Region 04,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed
(Current)","Special
Ed
(Former)","Continu-
ously
Enrolled","Non-
Continu-
ously
Enrolled","Econ
Disadv","EB ⁄ EL
(Current
&
Monitored)"
At Masters Grade Level,2021,30%,31%,17%,13%,16%,32%,*,46%,*,13%,4%,20%,18%,16%,15%,11%
,2019,29%,30%,21%,19%,20%,35%,0%,44%,*,56%,8%,25%,23%,17%,19%,18%
Grade 5 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,70%,70%,58%,45%,57%,62%,*,91%,*,61%,37%,60%,60%,48%,56%,55%
,2019,90%,89%,87%,79%,88%,90%,100%,97%,*,100%,68%,88%,89%,83%,86%,89%
At Meets Grade Level or Above,2021,44%,45%,25%,13%,24%,33%,*,66%,*,42%,16%,24%,26%,21%,23%,21%
,2019,58%,59%,48%,36%,47%,57%,14%,80%,*,78%,34%,49%,50%,42%,45%,48%
At Masters Grade Level,2021,25%,26%,10%,3%,9%,16%,*,44%,*,16%,5%,11%,10%,7%,8%,7%
,2019,36%,38%,25%,17%,24%,32%,0%,63%,*,50%,15%,23%,26%,21%,23%,25%
Grade 5 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,49%,35%,48%,61%,*,84%,*,65%,27%,48%,50%,45%,46%,44%
,2019,75%,75%,73%,65%,73%,82%,71%,91%,-,100%,47%,74%,75%,68%,71%,71%
At Meets Grade Level or Above,2021,31%,32%,16%,10%,14%,29%,*,52%,*,29%,14%,21%,16%,13%,14%,11%
,2019,49%,50%,44%,32%,43%,61%,29%,77%,-,78%,31%,47%,46%,37%,41%,42%
At Masters Grade Level,2021,13%,14%,4%,3%,3%,9%,*,27%,*,3%,4%,11%,4%,4%,3%,2%
,2019,24%,25%,19%,10%,17%,31%,0%,49%,-,56%,12%,21%,20%,14%,16%,17%
Grade 6 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,64%,53%,49%,52%,65%,-,85%,*,64%,27%,51%,55%,47%,51%,34%
,2019,68%,69%,66%,64%,64%,77%,*,90%,*,90%,37%,62%,68%,59%,64%,62%
At Meets Grade Level or Above,2021,32%,34%,24%,23%,22%,36%,-,53%,*,31%,18%,18%,25%,20%,21%,9%
,2019,37%,38%,31%,34%,28%,45%,*,69%,*,45%,20%,25%,33%,22%,29%,27%
At Masters Grade Level,2021,15%,16%,9%,8%,8%,10%,-,32%,*,19%,6%,5%,9%,7%,8%,2%
,2019,18%,19%,12%,16%,10%,20%,*,35%,*,16%,6%,11%,13%,9%,11%,10%
Grade 6 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,56%,53%,55%,66%,-,81%,*,59%,38%,61%,56%,54%,54%,49%
,2019,81%,81%,73%,66%,73%,82%,-,93%,*,96%,53%,71%,75%,68%,72%,72%
At Meets Grade Level or Above,2021,36%,37%,18%,18%,17%,21%,-,42%,*,15%,21%,15%,17%,19%,16%,11%
,2019,47%,48%,26%,23%,25%,33%,-,70%,*,40%,23%,31%,27%,23%,25%,25%
At Masters Grade Level,2021,15%,17%,3%,5%,3%,2%,-,23%,*,4%,6%,4%,3%,4%,3%,1%
,2019,21%,22%,6%,3%,5%,9%,-,43%,*,12%,9%,0%,5%,6%,5%,5%
Grade 7 Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,69%,71%,62%,46%,62%,66%,*,85%,*,77%,32%,61%,65%,48%,60%,39%
,2019,76%,77%,74%,63%,74%,83%,*,94%,*,82%,36%,73%,76%,68%,72%,73%
At Meets Grade Level or Above,2021,45%,47%,35%,24%,35%,44%,*,64%,*,54%,22%,48%,38%,25%,33%,14%
,2019,49%,51%,43%,32%,41%,58%,*,80%,*,55%,24%,30%,44%,36%,40%,40%
At Masters Grade Level,2021,25%,27%,17%,12%,16%,26%,*,42%,*,46%,8%,18%,19%,9%,15%,5%
,2019,29%,31%,23%,15%,21%,35%,*,67%,*,32%,10%,17%,25%,18%,21%,22%
Grade 7 Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,55%,57%,48%,33%,48%,55%,*,86%,*,54%,30%,55%,50%,39%,46%,37%
,2019,75%,77%,76%,67%,75%,81%,*,97%,*,80%,46%,81%,77%,69%,74%,76%
At Meets Grade Level or Above,2021,27%,29%,18%,10%,17%,23%,*,63%,*,43%,20%,18%,19%,12%,17%,10%
,2019,43%,46%,38%,27%,36%,48%,*,83%,*,40%,26%,31%,39%,33%,35%,38%
At Masters Grade Level,2021,12%,13%,5%,3%,4%,7%,*,39%,*,21%,6%,7%,6%,3%,5%,3%
,2019,17%,18%,9%,5%,8%,15%,*,47%,*,8%,8%,5%,9%,8%,8%,9%
Grade 7 Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,63%,63%,53%,43%,53%,55%,*,80%,*,62%,25%,49%,56%,41%,51%,25%
,2019,70%,72%,67%,59%,66%,78%,*,93%,*,68%,31%,64%,69%,61%,65%,65%
At Meets Grade Level or Above,2021,33%,34%,21%,19%,20%,28%,*,47%,*,46%,18%,16%,23%,13%,19%,5%
,2019,42%,43%,34%,24%,33%,50%,*,74%,*,32%,20%,27%,35%,30%,32%,32%
At Masters Grade Level,2021,10%,10%,4%,5%,3%,6%,*,12%,*,8%,6%,4%,4%,2%,3%,1%
,2019,18%,19%,12%,11%,10%,24%,*,38%,*,14%,8%,5%,12%,9%,10%,9%
Grade 8 Reading+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,69%,60%,69%,78%,*,82%,*,78%,39%,76%,71%,58%,67%,43%
,2019,86%,86%,84%,77%,84%,91%,*,99%,100%,74%,48%,75%,86%,76%,83%,82%
At Meets Grade Level or Above,2021,46%,48%,39%,29%,38%,48%,*,59%,*,51%,23%,42%,41%,28%,37%,15%
,2019,55%,56%,47%,34%,47%,61%,*,69%,33%,52%,22%,25%,51%,35%,45%,43%
At Masters Grade Level,2021,21%,22%,14%,12%,14%,22%,*,28%,*,20%,5%,12%,16%,10%,13%,3%
,2019,28%,30%,21%,15%,20%,32%,*,40%,0%,35%,7%,14%,22%,14%,18%,16%
Grade 8 Mathematics+,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,62%,62%,66%,48%,66%,76%,*,92%,*,58%,37%,73%,68%,53%,64%,49%
,2019,88%,88%,90%,84%,90%,93%,*,99%,100%,83%,64%,86%,90%,87%,89%,90%
At Meets Grade Level or Above,2021,36%,37%,35%,22%,35%,46%,*,76%,*,33%,23%,41%,37%,27%,33%,16%
,2019,57%,58%,58%,50%,57%,62%,*,89%,40%,50%,34%,50%,59%,52%,56%,58%
At Masters Grade Level,2021,11%,11%,8%,7%,7%,9%,*,38%,*,13%,7%,11%,9%,5%,7%,2%
,2019,17%,18%,16%,12%,14%,21%,*,57%,0%,17%,10%,10%,17%,12%,14%,16%
Grade 8 Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,68%,60%,47%,60%,71%,*,86%,*,59%,37%,72%,63%,49%,59%,40%
,2019,81%,81%,78%,72%,78%,88%,*,97%,67%,70%,50%,76%,80%,70%,77%,76%
At Meets Grade Level or Above,2021,43%,45%,31%,20%,30%,49%,*,67%,*,39%,24%,38%,33%,22%,28%,11%
,2019,51%,52%,44%,36%,42%,62%,*,82%,17%,52%,27%,33%,46%,35%,42%,40%
At Masters Grade Level,2021,24%,25%,12%,6%,11%,30%,*,37%,*,20%,9%,16%,13%,8%,11%,2%
,2019,25%,27%,17%,11%,16%,27%,*,42%,17%,22%,9%,5%,19%,10%,16%,15%
Grade 8 Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,57%,58%,51%,45%,50%,57%,*,74%,*,56%,36%,63%,53%,41%,49%,28%
,2019,69%,70%,68%,59%,67%,80%,*,94%,17%,65%,44%,67%,70%,61%,66%,65%
At Meets Grade Level or Above,2021,28%,29%,19%,16%,18%,37%,*,44%,*,34%,22%,31%,20%,14%,17%,7%
,2019,37%,38%,34%,31%,33%,46%,*,63%,17%,26%,24%,26%,36%,27%,32%,31%
At Masters Grade Level,2021,14%,15%,6%,4%,5%,15%,*,21%,*,5%,8%,13%,6%,5%,5%,2%
,2019,21%,23%,17%,13%,16%,25%,*,42%,0%,22%,10%,17%,19%,12%,16%,15%
End of Course English I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,67%,62%,50%,61%,67%,*,85%,-,81%,25%,67%,64%,51%,59%,31%
,2019,68%,67%,60%,51%,60%,66%,30%,77%,*,76%,22%,44%,63%,49%,59%,50%
At Meets Grade Level or Above,2021,50%,51%,43%,32%,42%,56%,*,79%,-,50%,15%,38%,45%,35%,40%,11%
,2019,50%,50%,42%,32%,41%,52%,0%,69%,*,64%,10%,36%,44%,32%,40%,31%
At Masters Grade Level,2021,12%,14%,8%,4%,7%,12%,*,31%,-,12%,4%,0%,9%,5%,7%,1%
,2019,11%,11%,6%,5%,5%,11%,0%,30%,*,15%,2%,1%,7%,4%,5%,2%
End of Course English II,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,69%,63%,68%,78%,*,86%,*,77%,33%,63%,71%,58%,66%,35%
,2019,68%,69%,61%,55%,60%,70%,50%,77%,-,70%,22%,43%,64%,46%,59%,43%
At Meets Grade Level or Above,2021,57%,58%,53%,45%,52%,68%,*,71%,*,66%,21%,63%,56%,40%,50%,15%
,2019,49%,50%,41%,36%,39%,54%,8%,64%,-,63%,12%,29%,44%,26%,38%,21%
At Masters Grade Level,2021,11%,12%,9%,5%,8%,11%,*,22%,*,20%,5%,4%,9%,7%,7%,1%
,2019,8%,9%,5%,3%,4%,9%,0%,19%,-,13%,4%,0%,6%,3%,4%,1%
End of Course Algebra I,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,87%,81%,87%,85%,*,95%,*,81%,65%,87%,88%,81%,86%,79%
,2019,85%,84%,90%,81%,90%,88%,67%,95%,*,82%,62%,79%,91%,83%,89%,91%
At Meets Grade Level or Above,2021,41%,44%,57%,42%,57%,63%,*,85%,*,61%,33%,54%,60%,46%,56%,41%
,2019,61%,61%,73%,61%,73%,70%,50%,89%,*,68%,35%,53%,75%,61%,72%,72%
At Masters Grade Level,2021,23%,26%,29%,15%,29%,33%,*,66%,*,29%,11%,41%,31%,21%,27%,17%
,2019,37%,38%,46%,35%,46%,52%,50%,74%,*,50%,12%,29%,49%,35%,45%,46%
End of Course Biology,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,82%,82%,81%,77%,81%,83%,*,94%,-,75%,53%,78%,83%,75%,80%,61%
,2019,88%,88%,87%,80%,87%,90%,*,93%,*,93%,58%,85%,89%,80%,86%,83%
At Meets Grade Level or Above,2021,55%,57%,54%,43%,53%,63%,*,83%,-,54%,26%,54%,56%,44%,51%,26%
,2019,62%,63%,60%,54%,60%,69%,*,75%,*,78%,22%,46%,64%,46%,59%,49%
At Masters Grade Level,2021,22%,26%,20%,13%,18%,26%,*,62%,-,18%,9%,22%,21%,14%,17%,5%
,2019,25%,28%,21%,15%,20%,28%,*,52%,*,37%,5%,17%,23%,15%,19%,14%
End of Course U.S. History,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,88%,89%,88%,83%,88%,89%,*,94%,-,88%,65%,92%,89%,79%,86%,65%
,2019,93%,93%,92%,88%,92%,96%,100%,96%,*,94%,68%,77%,94%,85%,92%,84%
At Meets Grade Level or Above,2021,69%,70%,65%,57%,65%,72%,*,80%,-,80%,42%,75%,67%,55%,63%,33%
,2019,73%,75%,73%,72%,72%,85%,57%,86%,*,89%,37%,49%,75%,61%,72%,47%
At Masters Grade Level,2021,43%,45%,35%,26%,34%,50%,*,56%,-,60%,17%,33%,37%,27%,32%,9%
,2019,45%,49%,42%,36%,40%,61%,14%,60%,*,78%,12%,23%,44%,32%,40%,19%
SAT/ACT All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,95%,96%,97%,88%,97%,96%,-,100%,-,100%,*,*,98%,86%,97%,88%
At Meets Grade Level or Above,2021,69%,75%,67%,50%,64%,68%,-,99%,-,67%,*,*,69%,39%,65%,75%
At Masters Grade Level,2021,14%,18%,6%,8%,4%,9%,-,25%,-,0%,*,*,6%,3%,5%,0%
All Grades All Subjects,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,67%,68%,61%,52%,61%,68%,75%,85%,72%,65%,35%,58%,63%,53%,59%,46%
,2019,78%,78%,76%,69%,76%,83%,69%,92%,78%,83%,46%,73%,78%,69%,75%,74%
At Meets Grade Level or Above,2021,41%,43%,33%,25%,32%,43%,38%,64%,44%,40%,20%,28%,34%,26%,30%,17%
,2019,50%,51%,45%,37%,44%,56%,29%,75%,35%,55%,24%,37%,47%,37%,43%,40%
At Masters Grade Level,2021,18%,20%,12%,8%,11%,18%,13%,35%,19%,16%,6%,11%,12%,8%,10%,5%
,2019,24%,25%,18%,14%,17%,26%,8%,45%,12%,28%,8%,13%,19%,14%,17%,16%
All Grades ELA/Reading,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,68%,69%,61%,52%,61%,70%,64%,83%,77%,71%,30%,58%,63%,53%,59%,44%
,2019,75%,75%,72%,64%,71%,79%,57%,88%,81%,81%,36%,68%,74%,64%,71%,68%
At Meets Grade Level or Above,2021,45%,46%,35%,28%,34%,47%,55%,63%,46%,43%,18%,30%,37%,28%,33%,18%
,2019,48%,49%,42%,34%,40%,53%,16%,70%,31%,55%,19%,33%,44%,33%,39%,36%
At Masters Grade Level,2021,18%,20%,12%,8%,11%,18%,18%,30%,23%,19%,5%,9%,12%,8%,10%,6%
,2019,21%,22%,15%,12%,14%,23%,5%,38%,19%,26%,5%,13%,16%,11%,14%,13%
All Grades Mathematics,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,66%,66%,61%,48%,61%,67%,80%,88%,67%,60%,38%,60%,63%,53%,59%,53%
,2019,82%,82%,82%,73%,82%,86%,85%,96%,93%,87%,56%,81%,83%,77%,81%,83%
At Meets Grade Level or Above,2021,37%,39%,30%,19%,29%,36%,30%,67%,42%,35%,21%,25%,31%,23%,27%,20%
,2019,52%,53%,47%,38%,47%,55%,45%,82%,53%,51%,30%,43%,49%,41%,46%,48%
At Masters Grade Level,2021,18%,19%,11%,6%,10%,13%,10%,39%,8%,14%,6%,11%,11%,8%,9%,6%
,2019,26%,28%,21%,14%,20%,27%,20%,56%,13%,25%,11%,15%,22%,17%,19%,21%
All Grades Writing,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,58%,59%,50%,42%,50%,56%,80%,76%,*,59%,24%,41%,52%,41%,48%,36%
,2019,68%,69%,66%,62%,65%,75%,*,92%,*,75%,33%,61%,68%,62%,65%,66%
At Meets Grade Level or Above,2021,30%,31%,20%,17%,19%,28%,40%,43%,*,37%,16%,12%,21%,15%,18%,10%
,2019,38%,39%,32%,27%,30%,44%,*,67%,*,44%,21%,27%,33%,28%,30%,30%
At Masters Grade Level,2021,9%,9%,4%,4%,4%,7%,20%,11%,*,9%,5%,3%,4%,3%,3%,2%
,2019,14%,15%,10%,10%,8%,17%,*,31%,*,15%,6%,4%,10%,8%,9%,8%
All Grades Science,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,71%,71%,65%,54%,64%,72%,*,89%,80%,65%,39%,63%,66%,58%,62%,48%
,2019,81%,82%,80%,73%,80%,87%,73%,94%,75%,87%,52%,78%,82%,73%,78%,76%
At Meets Grade Level or Above,2021,44%,45%,35%,26%,34%,47%,*,71%,60%,40%,21%,35%,36%,29%,32%,15%
,2019,54%,55%,50%,42%,49%,64%,33%,78%,25%,69%,26%,43%,53%,40%,48%,43%
At Masters Grade Level,2021,20%,22%,12%,7%,11%,22%,*,47%,40%,14%,7%,15%,13%,9%,11%,3%
,2019,25%,27%,19%,12%,18%,29%,0%,48%,13%,37%,8%,16%,21%,13%,17%,15%
All Grades Social Studies,,,,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2021,73%,74%,69%,64%,69%,76%,*,87%,*,68%,49%,75%,71%,58%,67%,42%
,2019,81%,81%,80%,73%,80%,88%,82%,95%,29%,78%,56%,72%,82%,72%,79%,71%
At Meets Grade Level or Above,2021,49%,51%,42%,37%,41%,57%,*,67%,*,52%,32%,50%,44%,33%,39%,17%
,2019,55%,57%,54%,51%,52%,65%,36%,76%,29%,54%,31%,37%,56%,43%,51%,36%
At Masters Grade Level,2021,29%,31%,21%,15%,20%,35%,*,43%,*,26%,12%,21%,22%,15%,18%,4%
,2019,33%,36%,30%,24%,28%,43%,9%,52%,0%,46%,11%,20%,32%,21%,27%,17%
STAAR Performance Rates by Enrolled Grade at Meets Grade Level or Above,,,,,,,,,,,,,,,,,
3rd Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,25%,12%,6%,12%,16%,*,33%,*,16%,15%,8%,13%,10%,11%,14%
,2019,35%,36%,28%,18%,28%,36%,*,59%,-,37%,18%,29%,29%,23%,27%,32%
Reading and Mathematics Including EOC,2021,24%,25%,12%,6%,12%,16%,*,33%,*,16%,15%,8%,13%,10%,11%,14%
,2019,35%,36%,28%,18%,28%,36%,*,59%,-,37%,18%,29%,29%,23%,27%,32%
Reading Including EOC,2021,38%,39%,27%,17%,27%,33%,*,46%,*,35%,19%,19%,28%,22%,25%,28%
,2019,45%,45%,42%,31%,42%,45%,*,65%,-,47%,22%,36%,43%,38%,40%,45%
Math Including EOC,2021,31%,31%,18%,9%,18%,21%,*,42%,*,23%,18%,15%,19%,14%,16%,21%
,2019,49%,48%,41%,28%,40%,56%,*,79%,-,53%,25%,44%,42%,36%,39%,45%
4th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,13%,8%,12%,25%,*,37%,*,14%,13%,8%,14%,10%,12%,11%
,2019,35%,36%,28%,21%,27%,39%,-,64%,*,31%,21%,26%,29%,23%,26%,28%
Reading and Mathematics Including EOC,2021,26%,27%,13%,8%,12%,25%,*,37%,*,14%,13%,8%,14%,10%,12%,11%
,2019,35%,36%,28%,21%,27%,39%,-,64%,*,31%,21%,26%,29%,23%,26%,28%
Reading Including EOC,2021,36%,37%,25%,21%,23%,39%,*,49%,*,25%,17%,21%,25%,22%,23%,20%
,2019,44%,45%,41%,35%,40%,52%,-,73%,*,46%,25%,35%,42%,36%,39%,38%
Math Including EOC,2021,36%,36%,21%,12%,20%,30%,*,51%,*,18%,16%,21%,22%,16%,20%,20%
,2019,48%,49%,40%,30%,39%,47%,-,77%,*,35%,28%,42%,42%,34%,38%,44%
5th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,34%,35%,18%,11%,17%,28%,*,55%,*,26%,12%,18%,19%,14%,16%,12%
,2019,44%,44%,34%,27%,33%,46%,14%,68%,*,72%,25%,34%,36%,28%,31%,31%
Reading and Mathematics Including EOC,2021,34%,35%,18%,11%,17%,28%,*,55%,*,26%,12%,18%,19%,14%,16%,12%
,2019,44%,44%,34%,27%,33%,46%,14%,68%,*,72%,25%,34%,36%,28%,31%,31%
Reading Including EOC,2021,46%,47%,31%,24%,29%,46%,*,63%,*,26%,15%,23%,32%,26%,28%,22%
,2019,54%,54%,47%,41%,45%,59%,43%,74%,*,72%,31%,42%,48%,41%,43%,41%
Math Including EOC,2021,44%,45%,25%,13%,24%,33%,*,66%,*,42%,16%,24%,26%,21%,23%,21%
,2019,58%,59%,48%,36%,47%,57%,14%,80%,*,78%,34%,49%,50%,42%,45%,48%
6th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,24%,26%,14%,13%,13%,17%,-,49%,*,22%,17%,9%,15%,12%,12%,5%
,2019,31%,32%,21%,21%,19%,30%,*,64%,*,35%,18%,11%,23%,14%,19%,18%
Reading and Mathematics Including EOC,2021,24%,26%,14%,13%,13%,17%,-,49%,*,22%,17%,9%,15%,12%,12%,5%
,2019,31%,32%,21%,21%,19%,30%,*,64%,*,35%,18%,11%,23%,14%,19%,18%
Reading Including EOC,2021,32%,34%,24%,23%,22%,36%,-,53%,*,31%,18%,18%,25%,19%,21%,9%
,2019,37%,38%,31%,34%,28%,45%,*,69%,*,45%,20%,25%,33%,22%,29%,26%
Math Including EOC,2021,36%,38%,23%,20%,22%,26%,-,62%,*,33%,22%,21%,24%,20%,21%,13%
,2019,48%,49%,36%,30%,34%,45%,*,83%,*,52%,24%,31%,38%,29%,34%,34%
7th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,28%,18%,10%,17%,28%,*,56%,*,40%,17%,20%,20%,10%,16%,6%
,2019,36%,39%,29%,18%,27%,42%,*,76%,*,27%,20%,20%,31%,23%,26%,28%
Reading and Mathematics Including EOC,2021,27%,29%,18%,10%,17%,28%,*,56%,*,40%,17%,20%,20%,10%,16%,6%
,2019,37%,40%,29%,18%,27%,42%,*,76%,*,27%,20%,20%,31%,23%,26%,28%
Reading Including EOC,2021,45%,47%,35%,24%,35%,44%,*,64%,*,54%,22%,48%,38%,25%,33%,14%
,2019,49%,51%,43%,32%,41%,58%,*,80%,*,55%,24%,30%,44%,36%,40%,40%
Math Including EOC,2021,32%,34%,23%,13%,22%,35%,*,64%,*,38%,19%,25%,25%,13%,21%,9%
,2019,48%,50%,40%,26%,38%,56%,*,88%,*,32%,26%,42%,42%,33%,37%,39%
8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,21%,21%,16%,13%,16%,22%,*,32%,*,15%,18%,4%,17%,14%,15%,6%
,2019,34%,35%,28%,22%,28%,36%,*,40%,0%,27%,19%,13%,30%,24%,27%,26%
Reading and Mathematics Including EOC,2021,33%,34%,27%,16%,26%,40%,*,58%,*,29%,19%,27%,29%,17%,25%,8%
,2019,47%,48%,40%,28%,40%,52%,*,64%,17%,50%,20%,18%,43%,29%,38%,36%
Reading Including EOC,2021,47%,48%,38%,29%,38%,48%,*,59%,*,51%,23%,42%,41%,28%,37%,15%
,2019,55%,56%,47%,34%,47%,61%,*,68%,33%,52%,22%,25%,51%,35%,45%,43%
Math Including EOC,2021,43%,44%,39%,24%,38%,53%,*,79%,*,38%,24%,46%,41%,29%,37%,18%
,2019,62%,64%,60%,50%,60%,63%,*,87%,50%,59%,34%,43%,62%,52%,58%,59%
3rd - 8th Graders,,,,,,,,,,,,,,,,,
Reading and Mathematics,2021,26%,27%,15%,10%,14%,23%,38%,45%,27%,22%,15%,12%,16%,12%,14%,9%
,2019,36%,37%,28%,21%,27%,38%,21%,65%,15%,37%,20%,23%,29%,22%,26%,27%
Reading and Mathematics Including EOC,2021,28%,29%,17%,11%,16%,25%,38%,48%,33%,24%,15%,14%,18%,12%,15%,10%
,2019,38%,39%,30%,22%,29%,41%,20%,67%,21%,41%,20%,24%,32%,23%,28%,29%
Reading Including EOC,2021,41%,42%,30%,23%,29%,41%,63%,56%,42%,37%,19%,26%,32%,24%,28%,19%
,2019,47%,48%,42%,35%,40%,54%,33%,72%,36%,52%,24%,33%,43%,34%,39%,39%
